1 2 3 4
2 5 8 2
3 12 7 3
4 7 2 5
5 7 2 8
6 10 1 4
7 5 9 9
8 15 1 8
9 11 3 4
10 16 9 1
11 10 6 9
12 11 9 4
13 18 9 10
14 5 4 1
15 5 10 7
16 19 0 4
17 10 2 5
18 5 8 7
19 10 3 8
20 7 6 4
21 10 6 5
22 19 3 4
23 20 2 5
24 11 9 10
25 4 6 6
26 10 5 6
27 8 2 1
28 2 8 8
29 1 8 9
30 16 7 2
31 18 6 6
32 8 0 1
33 10 4 6
34 7 9 6
35 11 0 3
36 13 10 10
37 2 3 0
38 17 5 8
39 10 4 4
40 4 2 9
41 18 3 0
42 13 2 10
43 12 0 5
44 7 7 3
45 7 9 2
46 20 0 10
47 1 2 9
48 19 4 0
49 9 2 3
50 20 4 3
51 20 2 2
52 9 6 1
53 13 6 10
54 8 5 4
55 5 4 8
56 19 3 3
57 14 4 7
58 12 4 1
59 0 7 8
60 1 7 7
61 4 0 2
62 11 6 4
63 12 10 1
64 3 7 8
65 6 1 6
66 10 0 8
67 1 5 7
68 10 8 2
69 0 4 6
70 7 3 6
71 0 8 7
72 8 2 6
73 4 0 5
74 18 9 2
75 0 4 1
76 10 10 9
77 7 10 10
78 17 3 3
79 12 8 8
80 16 10 2
81 8 1 3
82 2 3 2
83 20 8 10
84 17 3 10
85 15 5 10
86 3 6 9
87 16 1 1
88 16 6 10
89 17 8 1
90 7 5 4
91 11 4 8
92 5 10 10
93 3 6 10
94 14 10 0
95 8 0 6
96 4 2 10
97 11 5 7
98 3 2 3
99 8 4 8
100 15 9 3
101 15 4 6
102 12 1 5
103 20 4 6
104 17 4 8
105 16 1 10
106 12 5 5
107 3 1 8
108 16 6 8
109 14 5 7
110 15 2 4
111 19 5 3
112 14 1 0
113 15 4 7
114 19 2 7
115 1 9 9
116 15 9 8
117 18 9 1
118 6 7 1
119 20 10 6
120 14 0 8
121 8 10 0
122 4 3 0
123 14 6 1
124 1 5 2
125 17 3 9
126 19 0 8
127 16 5 10
128 16 9 10
129 15 7 3
130 2 9 2
131 2 7 10
132 6 1 8
133 15 0 4
134 11 5 3
135 13 2 6
136 4 0 5
137 20 0 4
138 20 0 9
139 4 2 9
140 4 4 0
141 15 9 0
142 17 5 0
143 16 3 8
144 10 5 8
145 13 2 8
146 15 0 0
147 1 0 0
148 7 9 2
149 6 9 7
150 16 6 4
151 1 5 0
152 0 2 5
153 10 5 5
154 14 2 7
155 0 7 0
156 8 0 2
157 8 3 9
158 2 7 7
159 15 7 6
160 15 7 9
161 15 7 5
162 19 6 9
163 16 2 9
164 19 8 7
165 0 6 9
166 6 4 2
167 7 9 1
168 16 2 6
169 16 8 1
170 11 8 1
171 14 7 9
172 6 0 0
173 17 3 2
174 10 10 2
175 6 2 2
176 5 6 3
177 14 9 4
178 16 2 9
179 13 4 6
180 16 8 3
181 18 8 6
182 18 10 8
183 19 9 1
184 11 10 7
185 3 4 7
186 20 9 8
187 12 3 8
188 8 8 5
189 18 6 2
190 5 6 5
191 8 8 1
192 3 8 2
193 17 10 10
194 15 1 10
195 7 1 3
196 3 4 8
197 6 2 7
198 1 8 6
199 14 6 10
200 14 9 2
201 3 6 5
202 0 4 5
203 17 0 4
204 18 5 10
205 12 10 4
206 20 9 3
207 4 4 3
208 8 0 5
209 20 10 8
210 0 7 1
211 8 0 7
212 2 10 5
213 7 2 6
214 18 8 5
215 12 5 4
216 3 9 0
217 9 4 8
218 4 4 4
219 19 9 3
220 11 3 1
221 3 5 6
222 19 9 6
223 12 7 0
224 6 7 7
225 2 5 0
226 8 2 2
227 8 2 8
228 4 5 0
229 1 5 3
230 14 1 5
231 20 0 6
232 0 2 0
233 15 0 5
234 8 2 0
235 18 5 7
236 15 0 4
237 3 2 1
238 18 5 8
239 20 4 7
240 19 0 10
241 1 0 6
242 8 1 2
243 10 9 1
244 0 6 2
245 15 6 7
246 17 3 8
247 13 2 2
248 0 4 2
249 18 6 3
250 0 6 6
251 12 2 9
252 1 1 10
253 19 1 3
254 0 0 5
255 11 1 6
256 13 0 7
257 8 1 5
258 1 4 5
259 8 4 3
260 4 3 7
261 0 1 2
262 16 0 6
263 16 2 7
264 13 10 6
265 13 0 8
266 12 2 7
267 19 0 9
268 19 0 6
269 7 10 9
270 5 2 2
271 19 4 10
272 5 9 3
273 16 3 5
274 9 4 3
275 10 1 1
276 20 6 3
277 16 0 10
278 3 6 10
279 0 9 8
280 15 6 10
281 3 8 8
282 3 3 4
283 12 0 1
284 5 5 0
285 16 8 2
286 20 8 5
287 0 1 0
288 2 8 8
289 14 9 7
290 9 10 2
291 1 2 9
292 5 1 10
293 6 4 7
294 5 4 7
295 13 5 5
296 8 1 4
297 13 10 1
298 1 6 0
299 1 5 10
300 0 6 4
301 5 10 9
302 4 10 3
303 7 6 4
304 7 0 3
305 8 3 6
306 7 10 10
307 8 6 0
308 16 0 3
309 11 6 9
310 12 6 3
311 17 7 2
312 13 6 4
313 8 10 2
314 9 4 5
315 4 9 3
316 13 0 3
317 11 3 3
318 6 8 9
319 17 1 7
320 4 0 1
321 7 6 3
322 14 7 5
323 8 8 2
324 10 7 2
325 13 6 4
326 13 10 6
327 19 10 3
328 20 0 1
329 15 6 0
330 17 10 2
331 8 5 3
332 15 2 10
333 15 9 4
334 16 5 8
335 20 8 6
336 12 3 8
337 13 5 5
338 7 8 3
339 18 9 1
340 4 6 0
341 7 4 10
342 9 8 5
343 2 10 8
344 16 7 10
345 15 1 0
346 7 2 0
347 11 5 8
348 0 8 9
349 7 6 5
350 6 4 1
351 2 0 5
352 16 10 9
353 12 8 7
354 14 1 9
355 11 4 5
356 10 10 7
357 4 7 3
358 12 5 4
359 7 7 9
360 13 1 1
361 18 7 4
362 0 6 1
363 14 3 10
364 16 3 10
365 9 7 3
366 10 8 9
367 13 3 9
368 2 0 1
369 7 7 4
370 6 1 10
371 11 0 9
372 19 8 9
373 4 4 0
374 5 8 1
375 12 10 9
376 14 8 8
377 20 0 0
378 3 5 10
379 1 5 7
380 10 5 1
381 3 3 7
382 16 10 7
383 7 2 6
384 8 9 2
385 19 8 5
386 7 8 7
387 13 4 0
388 5 5 6
389 9 0 6
390 15 1 8
391 11 3 4
392 20 6 3
393 5 9 2
394 15 6 2
395 9 7 1
396 0 9 5
397 13 2 6
398 7 2 5
399 15 0 5
400 7 9 4
401 17 10 5
402 9 7 5
403 2 3 0
404 11 4 0
405 16 2 7
406 4 5 10
